DEPARTAMENTO;MUNICIPIO;PUESTO;COMUNA;DIRECCIÓN;LATITUD;LONGITUD
ANTIOQUIA;MEDELLIN;SEC. ESC. LA ESPERANZA No 2;01COMUNA 1 POPULAR;KR 29 # 102 - 20;629116;-75541166
ANTIOQUIA;MEDELLIN;INST.EDUC. LA CANDELARIA;01COMUNA 1 POPULAR;CL 106 # 32-100;62935183;-755424117
ANTIOQUIA;MEDELLIN;IE MARIA DE LOS ANGELES CANO MARQUEZ;01COMUNA 1 POPULAR;CRA 36B No 102C -54;6292371293;-7554483033
ANTIOQUIA;MEDELLIN;SEC. ESC. MEDELLIN;01COMUNA 1 POPULAR;CL 96 # 36-45;62867589;-755465494
ANTIOQUIA;MEDELLIN;I.E.FE Y ALEGRIA GRANIZAL;01COMUNA 1 POPULAR;Cra 39A N° 104-23;6,29278E+11;-7,55477E+12
ANTIOQUIA;MEDELLIN;IE LA AVANZADA;01COMUNA 1 POPULAR;CRA 27 No 106BB-65;62943218;-755390466
ANTIOQUIA;MEDELLIN;SEC. ESC. CARPINELO AMAPOLITA;01COMUNA 1 POPULAR;CALLE 97 # 23-12;6,28691E+11;-7,55385E+12
ANTIOQUIA;MEDELLIN;IE ANTONIO DERKA;01COMUNA 1 POPULAR;CRA 28 No 107-425;6,29686E+11;-7,55387E+12
ANTIOQUIA;MEDELLIN;IE NUEVO HORIZONTES No 2;01COMUNA 1 POPULAR;CARRERA 37 No 107AA 21;6,29474E+11;-7,5546E+12
ANTIOQUIA;MEDELLIN;SEC.ESC. PABLO VI;01COMUNA 1 POPULAR;KR 42B # 110 A 28;62994019;-755465213
ANTIOQUIA;MEDELLIN;SEC. ESC. DIVINA PROVIDENCIA;01COMUNA 1 POPULAR;CL 108 NO 43B - 17;6,29733E+11;-7,55492E+12
ANTIOQUIA;MEDELLIN;SEC.ESC.AGRIPINA MONTES DEL VALLE;01COMUNA 1 POPULAR;CALLE 95 #42 B 44;6,28635E+11;-7,55504E+12
ANTIOQUIA;MEDELLIN;I.E.FEDERICO CARRASQUILLA;01COMUNA 1 POPULAR;Cra 45 # 108-110;6,29859E+11;-7,55495E+12
ANTIOQUIA;MEDELLIN;I.E.GUADALUPE;01COMUNA 1 POPULAR;Cra 42B 95A -23;6,28685E+11;-7,555E+11
ANTIOQUIA;MEDELLIN;I.E.  ASIA IGNACIANA;02COMUNA 2 SANTA CRUZ;CL 122 # 51B-30;6,30621E+11;-7,55551E+12
ANTIOQUIA;MEDELLIN;SEC.ESC.  MANUEL URIBE ANGEL;02COMUNA 2 SANTA CRUZ;KR 49A #107-65;6,29809E+11;-7,55537E+12
ANTIOQUIA;MEDELLIN;SEC. ESC. FIDEL ANTONIO SALDARRIAGA;02COMUNA 2 SANTA CRUZ;CRA 48 No 103B-01;6,29398E+11;-7,55539E+11
ANTIOQUIA;MEDELLIN;SEC ESC LA FRONTERA;02COMUNA 2 SANTA CRUZ;CALLE 122 No 50A 14;6,30602E+11;-7,55527E+12
ANTIOQUIA;MEDELLIN;I.E. BARRIO SANTA CRUZ;02COMUNA 2 SANTA CRUZ;CL 103 # 43A - 45;6,2922E+11;-7,55506E+12
ANTIOQUIA;MEDELLIN;SEC. ESC. ARZOBISPO GARCIA;02COMUNA 2 SANTA CRUZ;KR 49 # 98-48;6,29018E+11;-7,5556E+12
ANTIOQUIA;MEDELLIN;I.E. REPUBLICA DE HONDURAS;02COMUNA 2 SANTA CRUZ;KR 50B # 97A-30;6,2909E+11;-7,55594E+12
ANTIOQUIA;MEDELLIN;IE MONTECARLO GUILLERMO GAVIRIA;03COMUNA 3 MANRIQUE;CARRERA 36 # 85 B 140;6278153;-7554657
ANTIOQUIA;MEDELLIN;IE LAS NIEVES;03COMUNA 3 MANRIQUE;CLL 82 No 39 - 69;6,27364E+11;-7,5549E+12
ANTIOQUIA;MEDELLIN;I.E. MANUELA BELTRAN;03COMUNA 3 MANRIQUE;KR 37 # 71-47;6,26618E+11;-7,55485E+12
ANTIOQUIA;MEDELLIN;SEC ESC SAN JOSE (IE MANUELA BELTRAN);03COMUNA 3 MANRIQUE;CL 71 No 33-18;6,26558E+11;-7,55459E+12
ANTIOQUIA;MEDELLIN;I.E.RAMON MUNERA LOPERA;03COMUNA 3 MANRIQUE;Cra 30A  # 77 - 04;6,26935E+11;-7,55436E+12
ANTIOQUIA;MEDELLIN;IE BELLO ORIENTE;03COMUNA 3 MANRIQUE;CRA 23B No 84B-27;62768963;-75538217319
ANTIOQUIA;MEDELLIN;IE JOSE ROBERTO VASQUEZ;03COMUNA 3 MANRIQUE;CLL 76 No 39-160;6,26861E+11;-7,55502E+12
ANTIOQUIA;MEDELLIN;I.E. JOSE ANTONIO GALAN;03COMUNA 3 MANRIQUE;KR 44A NO 93-87;6,28494E+11;-7,55521E+12
ANTIOQUIA;MEDELLIN;I.E. HERNAN TORO AGUDELO;03COMUNA 3 MANRIQUE;Cra 45 # 72-80;6,26822E+11;-7,55548E+12
ANTIOQUIA;MEDELLIN;SEC ESC SUSANA D. (IE RODRIGO LARA BONI);03COMUNA 3 MANRIQUE;KR 41B # 66E-50;6,26243E+11;-7,55532E+12
